epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,45.0462,0.89415,3.67128,1.1841,0.23125,0.41463,0.25074,0.20103,0.78356,2.03191,1.12872,0.00017454,0.00017454,0.00017454
2,84.029,0.78665,2.60881,1.10752,0.27494,0.5105,0.34018,0.2733,0.77135,1.74968,1.10232,0.000342946,0.000342946,0.000342946
3,123.145,0.77375,2.18443,1.09085,0.47506,0.60686,0.57114,0.47063,0.7653,1.40181,1.07865,0.000504408,0.000504408,0.000504408
4,162.42,0.74152,1.81605,1.06602,0.46561,0.60446,0.55016,0.44234,0.7582,1.46902,1.07298,0.000494756,0.000494756,0.000494756
5,200.669,0.72107,1.57763,1.04985,0.70177,0.62672,0.71064,0.58457,0.75308,1.10636,1.03676,0.000484341,0.000484341,0.000484341
6,239.307,0.70922,1.36148,1.04826,0.78062,0.63523,0.7697,0.63038,0.71845,0.97287,1.04474,0.000473926,0.000473926,0.000473926
7,283.079,0.6948,1.26098,1.04351,0.80441,0.75687,0.8319,0.6995,0.67747,0.84108,1.00514,0.000463511,0.000463511,0.000463511
8,325.394,0.68082,1.18069,1.04224,0.83997,0.79303,0.86073,0.72582,0.66272,0.75104,0.99657,0.000453096,0.000453096,0.000453096
9,368.986,0.66606,1.09999,1.0208,0.87517,0.77327,0.85706,0.71709,0.6765,0.70087,1.00482,0.000442682,0.000442682,0.000442682
10,418.294,0.64776,1.02611,1.01357,0.89282,0.77572,0.87956,0.7316,0.66645,0.66354,0.99426,0.000432267,0.000432267,0.000432267
11,472.738,0.65262,0.99211,1.01225,0.9372,0.79005,0.89231,0.75107,0.65468,0.62043,0.99286,0.000421852,0.000421852,0.000421852
12,527.984,0.64743,0.92676,1.01198,0.90501,0.78395,0.88294,0.75015,0.65063,0.61982,0.99074,0.000411437,0.000411437,0.000411437
13,582.53,0.63678,0.91424,1.01004,0.91514,0.79707,0.90133,0.76342,0.64517,0.57745,0.99238,0.000401022,0.000401022,0.000401022
14,642.222,0.61668,0.8653,0.99798,0.93618,0.83446,0.92354,0.77066,0.65946,0.5393,0.99824,0.000390608,0.000390608,0.000390608
15,711.316,0.62571,0.85798,0.99834,0.9488,0.7958,0.89774,0.75166,0.64976,0.55311,0.97929,0.000380193,0.000380193,0.000380193
16,766.617,0.62471,0.83616,1.00272,0.90335,0.84937,0.92217,0.77576,0.6408,0.53425,0.97841,0.000369778,0.000369778,0.000369778
17,827.378,0.61058,0.81768,0.99201,0.88446,0.82848,0.90373,0.76497,0.6198,0.54228,0.96666,0.000359363,0.000359363,0.000359363
18,885.326,0.60294,0.77879,0.99365,0.94773,0.83298,0.92988,0.78389,0.61494,0.47991,0.96109,0.000348948,0.000348948,0.000348948
19,950.206,0.60608,0.75029,0.98747,0.94723,0.82979,0.92494,0.77999,0.62054,0.49926,0.96372,0.000338534,0.000338534,0.000338534
20,1017.6,0.59642,0.75558,0.99074,0.92083,0.85461,0.92636,0.77699,0.63284,0.50594,0.97519,0.000328119,0.000328119,0.000328119
21,1081.36,0.61098,0.75093,0.98681,0.91351,0.86291,0.93718,0.78981,0.61808,0.48141,0.96779,0.000317704,0.000317704,0.000317704
22,1140.06,0.58572,0.73191,0.98245,0.94809,0.85692,0.94086,0.80113,0.61255,0.45406,0.96396,0.000307289,0.000307289,0.000307289
23,1203.23,0.58066,0.696,0.97688,0.92248,0.87327,0.9421,0.79521,0.62108,0.45236,0.95836,0.000296874,0.000296874,0.000296874
24,1272.45,0.579,0.68882,0.9718,0.93995,0.87799,0.94573,0.80093,0.61388,0.45253,0.95485,0.00028646,0.00028646,0.00028646
25,1334.94,0.58315,0.68465,0.97363,0.9479,0.87052,0.94607,0.79916,0.62967,0.44763,0.97161,0.000276045,0.000276045,0.000276045
26,1399.05,0.57688,0.67588,0.97153,0.93615,0.8714,0.94632,0.80745,0.61324,0.43101,0.96572,0.00026563,0.00026563,0.00026563
27,1463.68,0.56545,0.66588,0.97314,0.91839,0.89099,0.94215,0.79814,0.61777,0.44126,0.96516,0.000255215,0.000255215,0.000255215
28,1530.48,0.57767,0.65594,0.9749,0.92831,0.88153,0.95124,0.80545,0.60831,0.42589,0.96199,0.0002448,0.0002448,0.0002448
29,1592.72,0.57167,0.64108,0.96957,0.9307,0.89345,0.94942,0.81445,0.5954,0.41509,0.95428,0.000234386,0.000234386,0.000234386
30,1654.78,0.5609,0.62855,0.96564,0.94889,0.88111,0.94917,0.80695,0.61204,0.42739,0.95628,0.000223971,0.000223971,0.000223971
31,1718.82,0.55347,0.6311,0.96778,0.95258,0.89951,0.95681,0.81538,0.60424,0.40629,0.95784,0.000213556,0.000213556,0.000213556
32,1782.05,0.5559,0.60934,0.9673,0.92986,0.91496,0.95138,0.81391,0.60135,0.40355,0.95971,0.000203141,0.000203141,0.000203141
33,1846.52,0.55411,0.60615,0.96435,0.92528,0.90166,0.95482,0.81274,0.59435,0.39888,0.94783,0.000192726,0.000192726,0.000192726
34,1908.68,0.54537,0.59478,0.95718,0.91484,0.92066,0.95563,0.81715,0.60158,0.38785,0.95733,0.000182312,0.000182312,0.000182312
35,1970.95,0.5443,0.59434,0.9608,0.95103,0.92706,0.96532,0.81975,0.5956,0.36376,0.95322,0.000171897,0.000171897,0.000171897
36,2037.87,0.54884,0.58007,0.95388,0.94829,0.89554,0.95806,0.81533,0.58614,0.38027,0.94453,0.000161482,0.000161482,0.000161482
37,2100.13,0.54287,0.55365,0.95559,0.94812,0.91482,0.96054,0.82005,0.5894,0.37395,0.94733,0.000151067,0.000151067,0.000151067
38,2165.56,0.53108,0.5613,0.95602,0.9435,0.91527,0.96158,0.82207,0.58189,0.36066,0.9399,0.000140652,0.000140652,0.000140652
39,2222.8,0.53872,0.56305,0.95598,0.94647,0.90213,0.9548,0.81384,0.58972,0.36457,0.94576,0.000130238,0.000130238,0.000130238
40,2286.55,0.53821,0.54542,0.95071,0.96151,0.9029,0.95889,0.8168,0.59195,0.3649,0.94824,0.000119823,0.000119823,0.000119823
41,2391.76,0.53782,0.38114,0.9206,0.95673,0.91583,0.96089,0.81818,0.59072,0.36691,0.94763,0.000109408,0.000109408,0.000109408
42,2452.31,0.53329,0.36965,0.92042,0.95935,0.91016,0.96352,0.82012,0.58842,0.35583,0.94233,9.89932e-05,9.89932e-05,9.89932e-05
43,2508.57,0.52046,0.35609,0.91678,0.95501,0.9239,0.96492,0.82614,0.58698,0.35098,0.94356,8.85784e-05,8.85784e-05,8.85784e-05
44,2571.7,0.51526,0.34186,0.90732,0.96427,0.91045,0.96486,0.82756,0.5793,0.34851,0.94121,7.81636e-05,7.81636e-05,7.81636e-05
45,2627.07,0.51662,0.34735,0.91286,0.95287,0.92526,0.9669,0.8245,0.58228,0.3454,0.94361,6.77488e-05,6.77488e-05,6.77488e-05
46,2679.92,0.5078,0.33872,0.90412,0.95862,0.92195,0.96745,0.83009,0.57386,0.32877,0.93798,5.7334e-05,5.7334e-05,5.7334e-05
47,2737.21,0.5051,0.32997,0.90261,0.95639,0.9206,0.96502,0.82531,0.58383,0.33484,0.9435,4.69192e-05,4.69192e-05,4.69192e-05
48,2795.71,0.50228,0.32172,0.9038,0.94155,0.92436,0.96433,0.82967,0.56971,0.32628,0.93617,3.65044e-05,3.65044e-05,3.65044e-05
49,2854.21,0.49733,0.31647,0.90239,0.94194,0.92884,0.96248,0.82802,0.57099,0.32303,0.93635,2.60896e-05,2.60896e-05,2.60896e-05
50,2911.39,0.48968,0.31547,0.90001,0.95337,0.92116,0.96454,0.82919,0.57038,0.32321,0.93561,1.56748e-05,1.56748e-05,1.56748e-05
