epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,104.129,0.86853,2.97129,1.16774,0.37039,0.57066,0.402,0.3125,0.79013,1.58783,1.11939,0.00017454,0.00017454,0.00017454
2,203.052,0.76995,1.62358,1.0907,0.47272,0.58445,0.56341,0.43823,0.83686,1.51811,1.12683,0.000342946,0.000342946,0.000342946
3,281.591,0.79201,1.44075,1.10243,0.62712,0.54511,0.6003,0.46458,0.87546,1.3655,1.16985,0.000504408,0.000504408,0.000504408
4,340.835,0.76096,1.24704,1.08757,0.83987,0.67465,0.79335,0.64684,0.74349,0.88652,1.08039,0.000494756,0.000494756,0.000494756
5,398.564,0.73107,1.1499,1.06271,0.82256,0.72198,0.81163,0.66361,0.74587,0.84342,1.06569,0.000484341,0.000484341,0.000484341
6,455.354,0.72804,1.04868,1.06956,0.86593,0.74117,0.85426,0.69895,0.72657,0.82044,1.05595,0.000473926,0.000473926,0.000473926
7,516.212,0.7058,0.99484,1.06149,0.8834,0.74993,0.8469,0.70029,0.71296,0.7221,1.05297,0.000463511,0.000463511,0.000463511
8,575.703,0.70768,0.9742,1.06585,0.80978,0.78152,0.86433,0.72159,0.68434,0.70339,1.02367,0.000453096,0.000453096,0.000453096
9,635.332,0.6739,0.92177,1.0335,0.92389,0.81481,0.90435,0.75155,0.69513,0.59275,1.02556,0.000442682,0.000442682,0.000442682
10,694.83,0.66211,0.86758,1.0326,0.8848,0.83329,0.90426,0.75586,0.66625,0.57418,1.00854,0.000432267,0.000432267,0.000432267
11,754.139,0.66002,0.85577,1.02348,0.91813,0.80596,0.90278,0.7516,0.67442,0.57611,1.01284,0.000421852,0.000421852,0.000421852
12,814.118,0.65337,0.82232,1.02994,0.89958,0.83337,0.91178,0.75348,0.69203,0.56766,1.03913,0.000411437,0.000411437,0.000411437
13,874.161,0.65051,0.80561,1.02739,0.9209,0.84694,0.92108,0.7744,0.64193,0.52305,0.99518,0.000401022,0.000401022,0.000401022
14,934.175,0.62737,0.76874,1.01204,0.93707,0.83008,0.92931,0.77567,0.6481,0.531,0.99791,0.000390608,0.000390608,0.000390608
15,994.232,0.63422,0.75658,1.01497,0.93836,0.85471,0.93238,0.78168,0.65128,0.49615,0.99265,0.000380193,0.000380193,0.000380193
16,1054.31,0.63281,0.74747,1.01812,0.94662,0.88616,0.94875,0.79086,0.64781,0.45522,0.99693,0.000369778,0.000369778,0.000369778
17,1114.32,0.62142,0.71851,1.0096,0.93329,0.8699,0.94676,0.79071,0.65389,0.44805,1.00527,0.000359363,0.000359363,0.000359363
18,1174.17,0.61297,0.69973,1.00742,0.93748,0.88072,0.94717,0.79176,0.65957,0.44579,0.9995,0.000348948,0.000348948,0.000348948
19,1234.24,0.60629,0.69244,0.9997,0.94657,0.87003,0.94353,0.79204,0.63313,0.44124,0.98822,0.000338534,0.000338534,0.000338534
20,1295.02,0.60153,0.69076,1.00152,0.94931,0.89682,0.9596,0.80175,0.63567,0.41923,0.99352,0.000328119,0.000328119,0.000328119
21,1355.11,0.62153,0.67465,1.00131,0.95169,0.89879,0.95829,0.80464,0.62595,0.40301,0.99196,0.000317704,0.000317704,0.000317704
22,1415.25,0.58794,0.64918,0.99288,0.93843,0.89773,0.9552,0.80584,0.61617,0.40016,0.97168,0.000307289,0.000307289,0.000307289
23,1475.42,0.58613,0.64142,0.98829,0.94808,0.89554,0.9508,0.79725,0.61302,0.40593,0.96847,0.000296874,0.000296874,0.000296874
24,1535.37,0.57687,0.62851,0.98534,0.92422,0.93045,0.95932,0.81367,0.61253,0.39733,0.97247,0.00028646,0.00028646,0.00028646
25,1595.24,0.57458,0.60773,0.97855,0.95269,0.87973,0.95919,0.81654,0.62898,0.39271,0.98547,0.000276045,0.000276045,0.000276045
26,1655.1,0.57166,0.6153,0.97628,0.932,0.89653,0.95681,0.80828,0.62203,0.38995,0.97111,0.00026563,0.00026563,0.00026563
27,1715.29,0.56519,0.60228,0.98195,0.93583,0.91127,0.9587,0.81374,0.60571,0.38773,0.96359,0.000255215,0.000255215,0.000255215
28,1775.28,0.57657,0.59307,0.9824,0.92743,0.92272,0.96308,0.81728,0.59492,0.37298,0.95522,0.0002448,0.0002448,0.0002448
29,1834.53,0.57107,0.5878,0.97741,0.92309,0.91709,0.96019,0.81468,0.5977,0.37565,0.96122,0.000234386,0.000234386,0.000234386
30,1893.89,0.56542,0.57541,0.97616,0.94747,0.92322,0.96354,0.81943,0.59717,0.36312,0.95652,0.000223971,0.000223971,0.000223971
31,1953.27,0.54724,0.56168,0.97248,0.9436,0.9482,0.96749,0.81975,0.6071,0.34963,0.96603,0.000213556,0.000213556,0.000213556
32,2012.5,0.55121,0.5573,0.97533,0.92941,0.94083,0.96713,0.82275,0.59647,0.36116,0.96003,0.000203141,0.000203141,0.000203141
33,2071.87,0.55178,0.55779,0.97063,0.94469,0.94035,0.96523,0.82005,0.59174,0.34531,0.95473,0.000192726,0.000192726,0.000192726
34,2131.36,0.54462,0.54555,0.96323,0.93822,0.93683,0.96476,0.81786,0.58917,0.34631,0.95573,0.000182312,0.000182312,0.000182312
35,2190.4,0.54028,0.54411,0.96896,0.94872,0.92984,0.96967,0.81954,0.59586,0.34336,0.96359,0.000171897,0.000171897,0.000171897
36,2249.72,0.54348,0.52585,0.96135,0.91601,0.94103,0.96678,0.82093,0.58624,0.34478,0.95679,0.000161482,0.000161482,0.000161482
37,2309.21,0.53607,0.51645,0.96432,0.95306,0.93118,0.96499,0.82411,0.58163,0.3397,0.95173,0.000151067,0.000151067,0.000151067
38,2368.72,0.52418,0.50478,0.95925,0.94367,0.92596,0.96563,0.82444,0.57809,0.34717,0.94949,0.000140652,0.000140652,0.000140652
39,2428.68,0.53039,0.51806,0.9642,0.91468,0.94352,0.96111,0.82104,0.5892,0.33059,0.95487,0.000130238,0.000130238,0.000130238
40,2488.3,0.52906,0.49769,0.9547,0.94248,0.94971,0.96877,0.82803,0.58418,0.32555,0.95587,0.000119823,0.000119823,0.000119823
41,2575.21,0.52344,0.31529,0.92528,0.94774,0.94943,0.97017,0.82972,0.58527,0.33238,0.96046,0.000109408,0.000109408,0.000109408
42,2634.56,0.52053,0.3058,0.92659,0.95193,0.92749,0.96613,0.82809,0.57629,0.32172,0.95091,9.89932e-05,9.89932e-05,9.89932e-05
43,2694.16,0.51108,0.30555,0.92413,0.95893,0.93443,0.97007,0.83136,0.57587,0.32374,0.95181,8.85784e-05,8.85784e-05,8.85784e-05
44,2753.66,0.50932,0.29519,0.9121,0.95162,0.93491,0.96804,0.83217,0.57409,0.32488,0.95103,7.81636e-05,7.81636e-05,7.81636e-05
45,2812.99,0.50677,0.29506,0.91644,0.94774,0.94972,0.97094,0.83375,0.57429,0.3118,0.94629,6.77488e-05,6.77488e-05,6.77488e-05
46,2872.24,0.49796,0.28815,0.91123,0.95941,0.93954,0.96891,0.83121,0.57476,0.30972,0.94483,5.7334e-05,5.7334e-05,5.7334e-05
47,2931.33,0.4916,0.27685,0.90583,0.93884,0.95371,0.96946,0.83223,0.57415,0.30721,0.94631,4.69192e-05,4.69192e-05,4.69192e-05
48,2990.79,0.4899,0.27185,0.90787,0.95788,0.95109,0.97047,0.83281,0.56875,0.30134,0.9444,3.65044e-05,3.65044e-05,3.65044e-05
49,3050.14,0.48297,0.27003,0.90579,0.9528,0.94756,0.97196,0.83879,0.56136,0.29597,0.94014,2.60896e-05,2.60896e-05,2.60896e-05
50,3109.7,0.47456,0.26311,0.90058,0.95704,0.94322,0.97093,0.8389,0.56299,0.29509,0.9419,1.56748e-05,1.56748e-05,1.56748e-05
